Move;Possible Moves Total;Simulation Count
0;24300;300
2;2641;300
4;2577;300
6;2523;300
8;2449;300
10;2394;300
12;2432;300
14;2321;300
16;2431;300
18;2589;300
20;2338;300
22;2488;300
24;2639;300
26;2872;300
28;2808;300
30;3139;299
32;3037;298
34;3119;295
36;2901;291
38;2922;286
40;2634;271
42;2614;254
44;2181;224
46;1463;192
48;1202;159
50;900;134
1;2664;300
3;2603;300
5;2549;300
7;2475;300
9;2494;300
11;2441;300
13;2452;300
15;2539;300
17;2459;300
19;2694;300
21;2419;300
23;2495;300
25;2706;300
27;2790;300
29;2910;300
31;3104;299
33;2840;295
35;3172;291
37;2911;290
39;2775;279
41;2509;262
43;2377;236
45;2152;207
47;1846;182
49;1173;149
52;645;102
51;866;119
54;361;72
56;230;43
58;142;30
60;50;18
53;582;89
55;343;57
57;170;40
59;81;25
62;15;7
61;38;10
63;7;3
64;3;1
66;1;1
65;2;1
